Company,Question,Date
Data Analyst at Acuverco Pharmaceuticals was asked...,Describe yourself,9-Jan-20
Data Analyst at Zoho was asked...,100 even number in ascending order first 50 number average is N then all the number average is a N+49 B N+50 C N+55,2-Dec-17
Data Analyst at Arzenovo Pharmaceutical was asked...,Linear regression,24-Sep-19
Data Analyst at Modak was asked...,"almost evrything on java ,DBMS.",18-Aug-18
Data Analyst at GlobalLogic was asked...,"Brush up your reasoning skills Blood relations , Direction Sense.",14-Jan-14
Research and Data Analyst at Opera Solutions was asked...,"Suppose there is a point A on road. From this point, probability of any car to pass in 20 min. is p; then tell what is probability for any car to pass in 2 min.?",20-Dec-13
Data Analyst at BRIDGEi2i was asked...,(x-a).(x-b).....(x-z)=?,14-Aug-17
Data Analyst at BRIDGEi2i was asked...,How many Red cars are there in Bangalore?,31-Aug-17
Data Analyst at Zoho was asked...,General HR question like why u want to work in zoho? your aim? and some apps,6-Sep-15
Data Analyst - Freshers at Nash Ventures (India) was asked...,About the task I did,29-Apr-18
Data Analyst at Tredence was asked...,Puzzles,7-Jan-18
Data Analyst at Zycus was asked...,"It was one of the question from the Tech interview, I don't remember it. It was something with a truck and a tunnel!",16-Nov-13
Data Analyst at Alphonso was asked...,"online exam contians 4 sections SQL, Statastics, Reasoning, English",18-Sep-18
Data Analyst at Cogencis Information Services was asked...,why should we hire you?,24-Jan-17
Data Analyst at Course5 Intelligence was asked...,What is array,21-Aug-18
Data Analyst at Zoho was asked...,5 men 4 women 1arranged in a row 2men after each other,2-Dec-17
Data Analyst at Zoho was asked...,If there 8 balls of same appearance with same 7 of them being same weight how will u find the odd one out using weigh scale with just 2 chances?,19-Jun-15
Data Analyst at Arzenovo Pharmaceutical was asked...,Explain linear regression Explain machine learning and why it is important,13-Sep-19
Data Analyst at FE fundinfo was asked...,About FE,5-Jun-18
Data Analyst at Pena4 Tech Solutions was asked...,How familiar are you with MS Excel,16-May-19
Data Analyst at OYO was asked...,Do you know about OYO?,25-Sep-17
Data Analyst at Deloitte was asked...,What is an attribute ?,28-Aug-11
Data Analyst at GlobalLogic was asked...,"start with some thing at jam , a random topic comes out like colour red and something from your resume intrests",26-Nov-15
Data Analyst at Aptroid Technologies was asked...,3*3 Matrix Multiplication,20-Nov-18
Data Analyst at Gauge Data Solutions was asked...,"When L2 regularizing a cost function, why does one add to it the square of the variables and not the variable itself.",24-May-16
Data Analyst at Groupon was asked...,you have 8 balls. one ball weighs 1.2kg rest each weighs 1kg. you need to do 2 measurements only. how will find that 1.2kg ball.,14-Jul-13
Data Analyst at Google was asked...,Why should i hire you?,15-May-13
Clinical Data Analyst at Theorem Clinical Research was asked...,Do you anything About Theorem?,20-Aug-15
Data Analyst at The Smart Cube was asked...,Guesstimate the number of Red Diesel Maruti Swift Cars running on road at that point of time (1.30 pm),30-Sep-15
Senior Data Analyst at Annik Technology Services was asked...,"Questions around education background, experience, skills",28-Dec-16
Data Analyst at McKinsey & Company was asked...,how would you implement VBA in Excel,11-Oct-14
Data Analyst at A3logics was asked...,What is the use of Vlookup function? Why do we create a pivot table?,7-Jul-16
Data Analyst at Annik Technology Services was asked...,analytical abilities,22-Jul-16
Senior Data Analyst at Annik Technology Services was asked...,"Questions around education background, experience, skills",28-Dec-16
Data Analyst at The Smart Cube was asked...,How much black money is in Delhi region,17-Nov-16
Business Data Analyst at Certination was asked...,what is your father salary? what is brand? difference between promotion and marketing?,24-Dec-16
Data Analyst at Rudder Analytics was asked...,20 Quantitative aptitude que.,20-Nov-16
Data Analyst at Rocket Kommerce was asked...,"nothing i specific , gave some random excel based test.",23-Mar-17
Trainee Data Analyst at Obsessory was asked...,"In interview they asked questions 1. Write test cases for ceiling fan. 2. what is structured data and unstructured 3. Tell about yourself. 4. Gave me test case of cab with table of cab no, driver name, trip start time, trip end time and driver duty start time and end time. Asked to draw analysis out of this info. 5. final round was with MD over skype and he also asked many questions based on CV and some test ceases. how you ensure quality data from vendor. how to check data is updated or not.",2-Apr-17
